fold_id,method,rows,mae,wape,mean_inventory_cost,shortage_units,overage_units,shortage_cost,overage_cost,total_cost
fold_03,baseline_croston_sba,5216,56.47365094035568,0.7599011534083223,1500.3552557989804,286788.10408185574,7778.459223039483,7636542.170242388,189310.84400509408,7825853.014247482
fold_03,baseline_tsb,5216,55.43246709260615,0.7458911364598767,1468.6245761399514,280517.7255812031,8618.02277383048,7471241.8823361695,189103.90680981733,7660345.789145987
fold_03,lgbm_point,5216,56.35102233082056,0.7582510808474919,1499.613589036104,287273.0820890035,6653.850388556548,7689827.1192018315,132157.36121048642,7821984.480412318
fold_03,lgbm_newsvendor,5216,56.11316050537795,0.7550504470564067,1468.09177758349,282041.1349815935,10645.110214457836,7542344.3093470745,115222.40252840961,7657566.711875484
fold_04,baseline_last14,5479,51.59974447891951,2.0983975239183845,1879.4181876254788,13949.0,268766.0,364652.51,9932679.739999998,10297332.249999998
fold_04,baseline_ma28,5479,29.96744696822458,1.2186807735446894,1058.817974298848,22322.248739347353,141869.3931995551,599787.0492493265,5201476.631934062,5801263.681183388
fold_04,baseline_weighted,5479,43.71833762714506,1.7778857696496508,1584.1666369414459,16030.110649027534,223502.66121010022,424287.68626762496,8255361.317534557,8679649.003802182
fold_04,baseline_croston_sba,5479,36.81139832016517,1.497002511680373,1292.7326397597417,18794.93551844112,182894.71587774382,491052.8656364287,6591829.267607195,7082882.133243624
fold_04,baseline_tsb,5479,94.83250897162146,3.8565365782831758,4733.797190131272,15419.484470628766,504167.8321848852,408223.9991312579,25528250.80559798,25936474.80472924
fold_04,lgbm_point,5479,19.277274905489293,0.7839454698481829,564.6415589064785,71810.88734479726,33809.30186237857,2186180.2663696506,907490.8348789455,3093671.101248596
fold_04,lgbm_newsvendor,5479,21.20773256380538,0.8624510440743245,527.2306521355873,80964.00895185176,35233.157765237906,2395880.010728171,492816.73232271196,2888696.743050883
fold_05,baseline_last14,5582,16.391974202794696,0.4697800505206087,451.6790433536367,75681.0,15819.0,2005013.3900000001,516259.03,2521272.42
fold_05,baseline_ma28,5582,25.586025864440256,0.7332737579082491,900.5233329968305,37391.78037479262,105429.41600051288,987046.7530850417,4039674.491703266,5026721.244788308
fold_05,baseline_weighted,5582,14.91242302005658,0.42737737096685274,451.6336222114652,49169.13641447689,34072.008883478964,1288334.8096391552,1232684.0695452436,2521018.879184399
fold_05,baseline_croston_sba,5582,16.089476719610342,0.4611107297191841,518.0101336054519,46464.06580881453,43347.39324005039,1211282.0830796333,1680250.4827059992,2891532.5657856325
fold_05,baseline_tsb,5582,29.972701224999458,0.8589921458831196,1327.894738941681,42287.48566248227,125020.1325754647,1103962.031548245,6308346.401224218,7412308.432772463
fold_05,lgbm_point,5582,15.95657794641575,0.457301963818684,446.38400599787514,77420.69417382001,11648.92392307271,2196892.8366235094,294822.6848566296,2491715.521480139
fold_05,lgbm_newsvendor,5582,16.733802337151925,0.4795765543609043,385.98454693908633,68443.924254707,24964.160391275036,1902262.2088155793,252303.5321984006,2154565.74101398
fold_06,baseline_last14,5742,15.764019505398815,0.6416141539726532,476.38110762800426,17451.0,73066.0,454168.20999999996,2281212.1100000003,2735380.3200000003
fold_06,baseline_ma28,5742,12.80317745517966,0.5211043965185085,384.03757479968857,22868.350687912392,50647.49425972922,591035.9447180848,1614107.809781727,2205143.7544998117
fold_06,baseline_weighted,5742,14.35922279647007,0.5844372739520343,435.12456704500335,18289.10352359762,64161.5537737335,472793.48870991555,2025691.7752624934,2498485.263972409
fold_06,baseline_croston_sba,5742,18.828457836498803,0.7663404020299278,620.6859835111455,18768.357918739293,89344.64697843684,491662.65400823974,3072316.263312758,3563978.9173209975
